,genres
0,Action & Adventure
1,Animation
2,Anime
3,Arts & Culture
4,Biography
5,Children
6,Classics
7,Comedy
8,Crime
9,Cult
10,Documentary
11,Drama
12,Faith & Spirituality
13,Family
14,Fantasy
15,Film-Noir
16,Food
17,Game Show
18,Health & Wellness
19,History
20,Home & Garden
21,Horror
22,Independent
23,International
24,Korean Drama
25,LGBTQ
26,Latino
27,Lifestyle
28,Mini-Series
29,Music
30,Musical
31,Mystery
32,News
33,Reality
34,Romance
35,Science-Fiction
36,Soap
37,Special Interest
38,Sport
39,Stand-up & Talk
40,Suspense
41,Talk Show
42,Thriller
43,Travel
44,Variety
45,War
46,Western
